ID;AT;SIL;ARG;AD
ZARC_818;50;36;14;0,15
ZARC_819;46;40;14;0,117
ZARC_820;45;41;14;0,115
ZARC_821;72;14;14;0,113
ZARC_822;84;2;14;0,095
ZARC_823;40;46;14;0,095
ZARC_824;79;7;14;0,094
ZARC_825;83;3;14;0,092
ZARC_826;80;6;14;0,09
ZARC_827;52;34;14;0,077
ZARC_828;77;9;14;0,076
ZARC_829;44;42;14;0,076
ZARC_830;81;5;14;0,075
ZARC_831;48;38;14;0,075
ZARC_832;47;39;14;0,068
ZARC_833;73;13;14;0,039
ZARC_834;18;69;13;0,247
ZARC_835;86;1;13;0,058
ZARC_836;46;41;13;0,213
ZARC_837;73;14;13;0,167
ZARC_838;49;38;13;0,152
ZARC_839;48;39;13;0,148
ZARC_840;50;37;13;0,146
ZARC_841;52;35;13;0,134
ZARC_842;45;42;13;0,132
ZARC_843;43;44;13;0,129
ZARC_844;54;33;13;0,127
ZARC_845;46;41;13;0,124
ZARC_846;47;40;13;0,123
ZARC_847;42;45;13;0,119
ZARC_848;68;19;13;0,103
ZARC_849;51;36;13;0,101
ZARC_850;79;8;13;0,087
ZARC_851;71;16;13;0,071
ZARC_852;75;12;13;0,07
ZARC_853;86;1;13;0,062
ZARC_854;80;7;13;0,041
ZARC_855;43;44;13;0,163
ZARC_856;45;42;13;0,191
ZARC_857;33;55;12;0,225
ZARC_858;33;55;12;0,225
ZARC_859;85;3;12;0,055
ZARC_860;40;48;12;0,213
ZARC_861;84;4;12;0,058
ZARC_862;80;8;12;0,047
ZARC_863;83;5;12;0,025
ZARC_864;51;37;12;0,163
ZARC_865;32;56;12;0,16
ZARC_866;54;34;12;0,142
ZARC_867;21;67;12;0,14
ZARC_868;48;40;12;0,123
ZARC_869;50;38;12;0,104
ZARC_870;77;11;12;0,083
ZARC_871;85;3;12;0,077
ZARC_872;84;4;12;0,072
ZARC_873;82;6;12;0,067
ZARC_874;87;1;12;0,066
ZARC_875;85;3;12;0,057
ZARC_876;85;3;12;0,056
ZARC_877;80;8;12;0,056
ZARC_878;87;1;12;0,056
ZARC_879;85;3;12;0,055
ZARC_880;82;6;12;0,054
ZARC_881;87;1;12;0,047
ZARC_882;87;1;12;0,045
ZARC_883;87;1;12;0,044
ZARC_884;87;1;12;0,044
ZARC_885;87;1;12;0,044
ZARC_886;81;7;12;0,043
ZARC_887;85;3;12;0,033
ZARC_888;81;7;12;0,018
ZARC_889;81;7;12;0,015
ZARC_890;81;7;12;0,013
ZARC_891;82;6;12;0,013
ZARC_892;82;6;12;0,007
ZARC_893;44;44;12;0,147
ZARC_894;75;14;11;0,142
ZARC_895;78;11;11;0,093
ZARC_896;82;7;11;0,068
ZARC_897;86;3;11;0,064
ZARC_898;77;12;11;0,045
ZARC_899;49;40;11;0,192
ZARC_900;44;46;10;0,232
ZARC_901;80;10;10;0,02
ZARC_902;18;72;10;0,16
ZARC_903;16;74;10;0,16
ZARC_904;56;34;10;0,092
ZARC_905;77;13;10;0,085
ZARC_906;87;3;10;0,058
ZARC_907;85;5;10;0,058
ZARC_908;85;5;10;0,053
ZARC_909;81;9;10;0,051
ZARC_910;87;3;10;0,05
ZARC_911;87;3;10;0,05
ZARC_912;89;1;10;0,049
ZARC_913;87;3;10;0,049
ZARC_914;87;3;10;0,049
ZARC_915;89;1;10;0,048
ZARC_916;89;1;10;0,048
ZARC_917;89;1;10;0,047
ZARC_918;85;5;10;0,046
ZARC_919;87;3;10;0,045
ZARC_920;89;1;10;0,043
ZARC_921;89;1;10;0,042
ZARC_922;89;1;10;0,039
ZARC_923;88;2;10;0,038
ZARC_924;87;3;10;0,029
ZARC_925;89;1;10;0,029
ZARC_926;89;1;10;0,026
ZARC_927;15;76;9;0,16
ZARC_928;75;16;9;0,085
ZARC_929;79;12;9;0,078
ZARC_930;80;11;9;0,063
ZARC_931;71;20;9;0,06
ZARC_932;90;2;8;0,033
ZARC_933;90;2;8;0,047
ZARC_934;16;76;8;0,18
ZARC_935;74;18;8;0,068
ZARC_936;64;28;8;0,065
ZARC_937;78;14;8;0,061
ZARC_938;80;12;8;0,059
ZARC_939;76;16;8;0,056
ZARC_940;66;26;8;0,053
ZARC_941;90;2;8;0,052
ZARC_942;86;6;8;0,051
ZARC_943;88;4;8;0,049
ZARC_944;88;4;8;0,048
ZARC_945;88;4;8;0,043
ZARC_946;85;7;8;0,042
ZARC_947;90;2;8;0,038
ZARC_948;90;2;8;0,037
ZARC_949;88;4;8;0,036
ZARC_950;88;4;8;0,036
ZARC_951;81;11;8;0,036
ZARC_952;88;4;8;0,033
ZARC_953;89;3;8;0,031
ZARC_954;88;4;8;0,031
ZARC_955;90;2;8;0,03
ZARC_956;88;4;8;0,026
ZARC_957;89;3;8;0,025
ZARC_958;89;3;8;0,018
ZARC_959;91;1;8;0,013
ZARC_960;90;2;8;0,005
ZARC_961;85;8;7;0,058
ZARC_962;86;7;7;0,051
ZARC_963;87;6;7;0,049
ZARC_964;32;62;6;0,18
ZARC_965;80;14;6;0,067
ZARC_966;89;5;6;0,049
ZARC_967;89;5;6;0,049
ZARC_968;89;5;6;0,046
ZARC_969;89;5;6;0,046
ZARC_970;89;5;6;0,044
ZARC_971;75;19;6;0,044
ZARC_972;92;2;6;0,038
ZARC_973;94;0;6;0,036
ZARC_974;92;2;6;0,036
ZARC_975;93;1;6;0,035
ZARC_976;91;3;6;0,035
ZARC_977;92;2;6;0,031
ZARC_978;92;2;6;0,031
ZARC_979;93;1;6;0,03
ZARC_980;93;1;6;0,027
ZARC_981;92;2;6;0,027
ZARC_982;93;1;6;0,026
ZARC_983;93;1;6;0,025
ZARC_984;92;2;6;0,025
ZARC_985;93;1;6;0,024
ZARC_986;92;2;6;0,022
ZARC_987;92;2;6;0,021
ZARC_988;92;2;6;0,019
ZARC_989;85;9;6;0,014
ZARC_990;35;60;5;0,194
ZARC_991;31;64;5;0,17
ZARC_992;80;15;5;0,09
ZARC_993;81;14;5;0,059
ZARC_994;89;6;5;0,047
ZARC_995;89;6;5;0,045
ZARC_996;92;3;5;0,033
ZARC_997;81;15;4;0,056
ZARC_998;83;13;4;0,042
ZARC_999;87;9;4;0,041
ZARC_1000;92;4;4;0,039
ZARC_1001;95;1;4;0,036
ZARC_1002;91;5;4;0,033
ZARC_1003;92;4;4;0,033
ZARC_1004;95;1;4;0,031
ZARC_1005;90;6;4;0,027
ZARC_1006;94;2;4;0,026
ZARC_1007;88;8;4;0,024
ZARC_1008;95;1;4;0,023
ZARC_1009;92;4;4;0,008
ZARC_1010;96;1;3;0,035
ZARC_1011;86;11;3;0,07
ZARC_1012;80;17;3;0,069
ZARC_1013;84;13;3;0,055
ZARC_1014;93;4;3;0,034
ZARC_1015;91;6;3;0,028
ZARC_1016;91;6;3;0,02
ZARC_1017;95;3;2;0,034
ZARC_1018;99;1;0;0,039
ZARC_1019;98;2;0;0,028
ZARC_1020;50;50;0;0,097
ZARC_1021;98;2;0;0,029
