ID;AT;SIL;ARG;AD
ZARC_188;6;47;47;0,195
ZARC_189;10;43;47;0,233
ZARC_190;1;53;46;0,219
ZARC_191;20;34;46;0,198
ZARC_192;45;9;46;0,159
ZARC_193;41;13;46;0,15
ZARC_194;35;19;46;0,127
ZARC_195;18;36;46;0,121
ZARC_196;19;35;46;0,103
ZARC_197;14;40;46;0,103
ZARC_198;22;32;46;0,1
ZARC_199;15;39;46;0,099
ZARC_200;39;15;46;0,097
ZARC_201;17;37;46;0,087
ZARC_202;16;38;46;0,083
ZARC_203;43;11;46;0,057
ZARC_204;36;18;46;0,05
ZARC_205;17;38;45;0,15
ZARC_206;37;18;45;0,133
ZARC_207;36;19;45;0,131
ZARC_208;48;7;45;0,126
ZARC_209;16;39;45;0,109
ZARC_210;13;42;45;0,107
ZARC_211;43;12;45;0,099
ZARC_212;15;40;45;0,098
ZARC_213;8;47;45;0,098
ZARC_214;7;48;45;0,094
ZARC_215;46;9;45;0,091
ZARC_216;47;8;45;0,09
ZARC_217;26;29;45;0,088
ZARC_218;39;16;45;0,085
ZARC_219;14;41;45;0,085
ZARC_220;29;26;45;0,078
ZARC_221;34;21;45;0,074
ZARC_222;32;23;45;0,07
ZARC_223;10;45;45;0,172
ZARC_224;9;47;44;0,202
ZARC_225;37;19;44;0,16
ZARC_226;45;11;44;0,14
ZARC_227;35;21;44;0,134
ZARC_228;51;5;44;0,124
ZARC_229;20;36;44;0,12
ZARC_230;16;40;44;0,12
ZARC_231;19;37;44;0,119
ZARC_232;40;16;44;0,109
ZARC_233;14;42;44;0,107
ZARC_234;15;41;44;0,106
ZARC_235;30;26;44;0,087
ZARC_236;34;22;44;0,086
ZARC_237;49;7;44;0,051
ZARC_238;41;15;44;0,05
ZARC_239;50;6;44;0,047
ZARC_240;48;8;44;0,043
ZARC_241;9;47;44;0,225
ZARC_242;16;40;44;0,144
ZARC_243;29;28;43;0,185
ZARC_244;46;11;43;0,155
ZARC_245;18;39;43;0,13
ZARC_246;17;40;43;0,127
ZARC_247;16;41;43;0,11
ZARC_248;42;15;43;0,107
ZARC_249;20;37;43;0,104
ZARC_250;19;38;43;0,1
ZARC_251;14;43;43;0,099
ZARC_252;7;50;43;0,093
ZARC_253;36;21;43;0,09
ZARC_254;47;10;43;0,083
ZARC_255;39;18;43;0,083
ZARC_256;43;14;43;0,078
ZARC_257;52;5;43;0,072
ZARC_258;3;54;43;0,13
ZARC_259;13;44;43;0,163
ZARC_260;16;42;42;0,112
ZARC_261;2;56;42;0,18
ZARC_262;12;46;42;0,167
ZARC_263;47;11;42;0,146
ZARC_264;18;40;42;0,126
ZARC_265;16;42;42;0,124
ZARC_266;38;20;42;0,12
ZARC_267;35;23;42;0,118
ZARC_268;36;22;42;0,116
ZARC_269;17;41;42;0,115
ZARC_270;37;21;42;0,11
ZARC_271;39;19;42;0,103
ZARC_272;15;43;42;0,097
ZARC_273;52;6;42;0,093
ZARC_274;50;8;42;0,08
ZARC_275;44;14;42;0,063
ZARC_276;48;10;42;0,054
ZARC_277;1;57;42;0,202
ZARC_278;6;53;41;0,222
ZARC_279;6;53;41;0,222
ZARC_280;3;56;41;0,179
ZARC_281;51;8;41;0,162
ZARC_282;53;6;41;0,157
ZARC_283;19;40;41;0,12
ZARC_284;31;28;41;0,113
ZARC_285;15;44;41;0,104
ZARC_286;49;10;41;0,091
ZARC_287;52;7;41;0,079
ZARC_288;45;14;41;0,044
ZARC_289;15;44;41;0,165
ZARC_290;6;53;41;0,148
ZARC_291;5;55;40;0,22
ZARC_292;5;55;40;0,18
ZARC_293;18;42;40;0,176
ZARC_294;43;17;40;0,162
ZARC_295;28;32;40;0,151
ZARC_296;25;35;40;0,13
ZARC_297;49;11;40;0,128
ZARC_298;53;7;40;0,127
ZARC_299;37;23;40;0,11
ZARC_300;45;15;40;0,09
ZARC_301;39;21;40;0,076
ZARC_302;12;48;40;0,246
ZARC_303;2;59;39;0,133
ZARC_304;6;55;39;0,25
ZARC_305;58;3;39;0,221
ZARC_306;6;55;39;0,2
ZARC_307;4;57;39;0,191
ZARC_308;19;42;39;0,19
ZARC_309;45;16;39;0,153
ZARC_310;40;21;39;0,143
ZARC_311;14;47;39;0,112
ZARC_312;52;9;39;0,103
ZARC_313;54;7;39;0,096
ZARC_314;47;14;39;0,08
ZARC_315;9;52;39;0,248
ZARC_316;9;52;39;0,238
ZARC_317;9;52;39;0,234
ZARC_318;9;52;39;0,233
ZARC_319;9;52;39;0,229
ZARC_320;9;52;39;0,227
ZARC_321;9;52;39;0,226
ZARC_322;9;52;39;0,221
ZARC_323;9;52;39;0,218
ZARC_324;9;52;39;0,213
ZARC_325;9;52;39;0,201
ZARC_326;9;52;39;0,168
ZARC_327;9;52;39;0,157
ZARC_328;9;52;39;0,152
ZARC_329;9;52;39;0,118
ZARC_330;3;58;39;0,221
ZARC_331;11;51;38;0,198
