"";"ID";"AT";"ARG";"SIL";"AD";"fit.m1";"fit.m2";"res.m1";"res.m2"
"58";"ZARC_58";22;66;12;0,94;0,981805170544533;0,981343206495711;-0,0418051705445325;-0,0413432064957108
"59";"ZARC_59";22;66;12;0,91;0,981805170544533;0,981343206495711;-0,0718051705445326;-0,0713432064957108
"60";"ZARC_60";21;66;13;1,21;0,982605922364259;0,97874620556317;0,227394077635741;0,23125379443683
"61";"ZARC_61";21;66;13;1,02;0,982605922364259;0,97874620556317;0,0373940776357413;0,0412537944368301
"62";"ZARC_62";3;66;31;1;1,19984551518493;1,17782675265101;-0,199845515184932;-0,17782675265101
"63";"ZARC_63";15;66;19;1;1,01231889679944;0,991981680617736;-0,0123188967994447;0,00801831938226361
"64";"ZARC_64";22;66;12;0,91;0,981805170544533;0,981343206495711;-0,0718051705445326;-0,0713432064957108
"65";"ZARC_65";20;66;14;0,73;0,98459279149431;0,977520821407814;-0,25459279149431;-0,247520821407814
"66";"ZARC_66";23;65;12;1,25;0,990446654531456;0,990473487404851;0,259553345468544;0,259526512595149
"67";"ZARC_67";22;65;13;1,14;0,991108975596872;0,987648709926204;0,148891024403128;0,152351290073796
"68";"ZARC_68";20;65;15;0,86;0,995930691228592;0,986049082696268;-0,135930691228592;-0,126049082696268
"69";"ZARC_69";14;65;21;1,4;1,03837242613083;1,0138173149216;0,361627573869167;0,3861826850784
"70";"ZARC_70";23;65;12;1,25;0,990446654531456;0,990473487404851;0,259553345468544;0,259526512595149
"71";"ZARC_71";12;65;23;1,21;1,06184520043394;1,03425249805254;0,148154799566058;0,175747501947463
"72";"ZARC_72";12;65;23;1,21;1,06184520043394;1,03425249805254;0,148154799566058;0,175747501947463
"73";"ZARC_73";22;65;13;1,14;0,991108975596872;0,987648709926204;0,148891024403128;0,152351290073796
"74";"ZARC_74";5;65;30;0,99;1,18071918225412;1,1541604039089;-0,190719182254117;-0,164160403908904
"75";"ZARC_75";22;65;13;0,96;0,991108975596872;0,987648709926204;-0,0311089755968724;-0,0276487099262038
"76";"ZARC_76";20;65;15;0,86;0,995930691228592;0,986049082696268;-0,135930691228592;-0,126049082696268
"77";"ZARC_77";23;65;12;0,74;0,990446654531456;0,990473487404851;-0,250446654531456;-0,250473487404851
"78";"ZARC_78";5;65;30;0,99;1,18071918225412;1,1541604039089;-0,190719182254117;-0,164160403908904
"79";"ZARC_79";28;64;8;1,44;1,00786215749953;1,0246664123533;0,43213784250047;0,4153335876467
"80";"ZARC_80";28;64;8;1,44;1,00786215749953;1,0246664123533;0,43213784250047;0,4153335876467
"81";"ZARC_81";11;64;25;1,1;1,09499355883023;1,06467939293421;0,00500644116976747;0,0353206070657903
"82";"ZARC_82";21;64;15;0,92;1,00365551751564;0,993971142404733;-0,083655517515638;-0,0739711424047328
